Filename,Type,Image Size (MB),Image X,Image Y,DPI,(Center) Coordinate,Favorite,Continent,Bit color,Alpha,Hockey Team,User Tags
Sydney_000020.tiff,tiff,22.85,6000,4000,600,"34° 52' S, 151° 44' E",,Australia,48,,,"""""""Work, Abstract"""""""
Tokyo_000021.tiff,tiff,30.11,1920,1080,300,"36° 29' N, 140° 26' E",,Asia,48,,,
New_York_000022.tif,tif,8.71,3840,2160,1200,"41.12271, -73.72458",,North America,48,,,"""""""Art, Travel, Portrait, Nature"""""""
Singapore_000023.raw,raw,21.04,1920,1080,1200,"1.24854, 103.72645",,Asia,14,,,"""""""Forest, Abstract"""""""
Paris_000024.arw,arw,30.68,3264,2448,300,"49° 58' N, 3° 38' E",,Europe,14,,,"""""""Golden Hour"""""""
Paris_000025.cr2,cr2,36.28,3264,2448,300,"48.44744, 2.35391",,Europe,14,,,"""""""Wildlife"""""""
London_000026.tiff,tiff,11.32,2048,1536,1200,"52.00353, -0.04607",,Europe,32,Y,,"""""""Wildlife, Night"""""""
Cape_Town_000027.png,png,7.88,4000,3000,72,"34° 36' S, 18° 44' E",,Africa,32,,,"""""""HDR, Festival, Urban"""""""
Singapore_000028.jpeg,jpeg,12.58,3840,2160,96,"1° 10' N, 104° 08' E",,Asia,32,,,
Barcelona_000029.jpeg,jpeg,7.8,6000,4000,150,"41.13321, 2.30740",,Europe,24,,,"""""""Art, Landscape, Wildlife, Work"""""""
Berlin_000030.nef,nef,43.74,6000,4000,300,"53° 09' N, 13° 31' E",Yes,Europe,16,,,"""""""Sunrise, Holiday, Wildlife"""""""
Buenos_Aires_000031.nef,nef,20.71,6000,4000,300,"-34.84498, -57.93283",Yes,South America,14,Y,,"""""""HDR, Holiday, Sunset"""""""
Singapore_000032.jpg,jpg,11.12,2048,1536,96,"1.80019, 103.63235",Yes,Asia,24,,,"""""""Abstract, HDR, Landscape, Night"""""""
Mumbai_000033.raw,raw,42.8,4000,3000,300,"19.47412, 72.40971",,,14,,,"""""""Wedding"""""""
Singapore_000034.cr2,cr2,33.7,4032,3024,300,"1.79583, 104.05770",,Asia,,,,"""""""Sunrise, Night, Sports, Black and White"""""""
Sydney_000035.cr2,cr2,42.53,4032,3024,600,"-34.04527, 151.38561",Yes,Australia,14,,,"""""""Golden Hour, Sunrise, Urban, Landscape, Wildlife"""""""
Mumbai_000036.jpeg,jpeg,16.42,4032,3024,150,"19° 03' N, 73° 22' E",,Asia,24,Y,,"""""""Landscape, Work, Wedding, Family, Blue Hour"""""""
Vancouver_000037.arw,arw,26.92,4032,3024,1200,"49.48033, -123.35059",,North America,14,,Flames,"""""""Food, Architecture, Sports, Festival, Black and White"""""""
Barcelona_000038.cr2,cr2,32.6,5472,3648,1200,"41.48299, 2.02595",,Europe,,Y,Flames,"""""""Wildlife, Event"""""""
Berlin_000039.cr2,cr2,41.48,4032,3024,1200,,,Europe,14,,,
London_000040.tif,tif,34.15,5472,3648,1200,"52° 23' N, 0° 59' W",,Europe,24,,,"""""""Festival"""""""
Mumbai_000041.jpg,jpg,15.26,2048,1536,96,"19° 37' N, 73° 56' E",,Asia,32,,,
Los_Angeles_000042.jpeg,jpeg,12.81,2048,1536,150,"34.44900, -118.06440",,North America,32,,,"""""""Beach, Panorama, Mountain, Sunset"""""""
London_000043.png,png,20.03,4032,3024,300,"51.80670, -0.42440",,Europe,32,,,"""""""Vacation, Forest, Sports, HDR, Sunrise"""""""
London_000044.jpg,jpg,15.86,4000,3000,150,"52° 01' N, 0° 48' W",,Europe,32,Y,,"""""""Abstract, Blue Hour"""""""
Cape_Town_000045.png,png,4.84,6000,4000,96,"34° 33' S, 18° 24' E",,Africa,24,Y,,"""""""Blue Hour, Wildlife, Mountain"""""""
Vancouver_000046.jpg,jpg,10.27,1920,1080,96,"49.66687, -123.27415",,North America,24,,,"""""""Vintage, Wildlife, Travel, Golden Hour"""""""
New_York_000047.png,png,22.35,1920,1080,150,"40.52440, -74.42147",,North America,32,,,"""""""HDR, Concert, Wildlife, Nature, Mountain"""""""
New_York_000048.tiff,tiff,15.33,4000,3000,1200,"40.94747, -73.91306",,,48,Y,,"""""""HDR, Wildlife, Sunset"""""""
London_000049.arw,arw,41.59,5472,3648,300,,,Europe,,,,"""""""Macro, Travel, Night"""""""
Singapore_000050.jpg,jpg,18.97,4032,3024,72,"1° 47' N, 104° 06' E",,Asia,32,,,"""""""Sunset, Family, Blue Hour, Nature"""""""
Vancouver_000051.cr2,cr2,42.48,3264,2448,1200,"49° 53' N, 123° 21' W",,North America,14,,,"""""""Art, Holiday, Landscape, Work"""""""
Cairo_000052.raw,raw,44.59,6000,4000,600,"30.29738, 31.04189",,,14,,,"""""""Abstract, Concert"""""""
Tokyo_000053.png,png,7.15,3264,2448,300,"35° 56' N, 139° 58' E",,Asia,,Y,,"""""""Landscape, HDR, Architecture"""""""
Vancouver_000054.jpg,jpg,7.21,5472,3648,72,"49° 31' N, 123° 30' W",,North America,32,,,"""""""Landscape, Forest"""""""
Rio_de_Janeiro_000055.raw,raw,32.44,3264,2448,1200,"-23.39079, -42.94055",,South America,14,Y,Oilers,"""""""Blue Hour, Forest"""""""
Paris_000056.raw,raw,37.44,4032,3024,300,"48° 47' N, 3° 19' E",Yes,Europe,14,,Oilers,"""""""Event, Panorama"""""""
London_000057.nef,nef,25.23,4000,3000,300,"51° 11' N, 0° 10' W",,Europe,16,,Blackhawks,"""""""Travel, Night, Black and White, Work"""""""
Berlin_000058.nef,nef,44.1,5472,3648,1200,"52° 18' N, 13° 00' E",,Europe,16,Y,,
Tokyo_000059.nef,nef,17.28,5472,3648,300,"35.64277, 139.66537",,Asia,16,Y,,"""""""Black and White"""""""
New_York_000060.tif,tif,19.19,1920,1080,300,"41.04311, -74.03846",,North America,,Y,,"""""""Festival, Travel"""""""
Cairo_000061.tif,tif,27.59,4032,3024,300,"30° 48' N, 31° 35' E",,Africa,32,,Blackhawks,"""""""Blue Hour, Macro, Golden Hour, Travel"""""""
Singapore_000062.jpeg,jpeg,13.05,3840,2160,300,"1.66740, 103.76492",,Asia,32,,,"""""""Wedding, Concert, Black and White, Holiday, Beach"""""""
Buenos_Aires_000063.tif,tif,20.12,6000,4000,300,"34° 33' S, 58° 26' W",,South America,48,,,"""""""Sunset, Beach, Holiday, Family, Blue Hour"""""""
Vancouver_000064.png,png,22.35,3840,2160,72,"49.39400, -123.09570",,North America,,,Leafs,"""""""Event, Night, City, Forest"""""""
Rio_de_Janeiro_000065.arw,arw,26.95,5472,3648,1200,"23° 26' S, 43° 18' W",,South America,14,Y,,"""""""Urban, Event, Panorama"""""""
Paris_000066.jpeg,jpeg,4.84,3264,2448,150,,Yes,Europe,24,,,"""""""Family, Vacation, Blue Hour"""""""
Rio_de_Janeiro_000067.jpg,jpg,10.35,4032,3024,72,"23° 24' S, 43° 40' W",Yes,South America,24,,,"""""""Architecture, Abstract, Macro, Vintage, Beach"""""""
Singapore_000068.tif,tif,32.4,4000,3000,1200,"1.55490, 103.66538",,Asia,,,Leafs,"""""""Black and White, Beach, Concert, City, Art"""""""
Los_Angeles_000069.tiff,tiff,9.03,3840,2160,300,"34.38259, -118.61586",Yes,North America,32,Y,,"""""""Family, HDR, Holiday, Festival"""""""
Vancouver_000070.tif,tif,33.19,2048,1536,300,"49° 07' N, 123° 42' W",,North America,48,Y,,"""""""Abstract, Beach, Mountain"""""""
Sydney_000071.tif,tif,31.8,5472,3648,1200,"34° 16' S, 151° 36' E",,Australia,24,,,"""""""Night"""""""
New_York_000072.tiff,tiff,19.51,3264,2448,300,"41° 01' N, 74° 16' W",,North America,32,,,"""""""Forest, Family, Mountain, Work, Holiday"""""""
London_000073.jpeg,jpeg,19.0,3840,2160,150,"51.82103, 0.21426",,,32,,Leafs,"""""""Blue Hour"""""""
Los_Angeles_000074.nef,nef,17.75,1920,1080,600,,Yes,North America,14,,,"""""""Panorama, Abstract"""""""
Barcelona_000075.png,png,11.58,5472,3648,72,"42° 41' N, 2° 19' E",,Europe,32,Y,,"""""""Blue Hour, Wedding"""""""
Barcelona_000076.png,png,24.05,1920,1080,150,"42° 02' N, 3° 56' E",,Europe,,,,
Vancouver_000077.jpg,jpg,21.22,3264,2448,300,"48.99770, -123.55895",,North America,32,,,"""""""Holiday, Vintage, Black and White"""""""
London_000078.raw,raw,40.15,4000,3000,600,"51.79109, -0.34637",,Europe,14,,,
Barcelona_000079.arw,arw,29.75,6000,4000,1200,"42° 12' N, 3° 33' E",,Europe,14,Y,,
Sydney_000080.raw,raw,29.01,6000,4000,300,"-33.86675, 150.79848",,Australia,14,Y,,
Berlin_000081.nef,nef,33.47,3840,2160,600,"52.49015, 13.08192",,,14,Y,,"""""""Portrait, Blue Hour"""""""
Vancouver_000082.tif,tif,32.34,5472,3648,1200,"50° 14' N, 123° 07' W",,North America,48,Y,,"""""""Street"""""""
London_000083.tif,tif,15.5,4032,3024,300,"52° 25' N, 0° 22' W",,Europe,32,,Rangers,"""""""Nature, Wildlife"""""""
Sydney_000084.tif,tif,22.1,2048,1536,1200,"34° 33' S, 151° 53' E",,Australia,32,,Blackhawks,
Sydney_000085.tif,tif,11.83,3264,2448,1200,,,Australia,,Y,,"""""""Wedding, Travel, Sunrise, City, Black and White"""""""
Barcelona_000086.jpg,jpg,13.65,3264,2448,72,"41° 51' N, 3° 19' E",,Europe,32,Y,,"""""""Mountain, Art, Food, Family"""""""
Buenos_Aires_000087.tiff,tiff,31.24,5472,3648,300,"35° 37' S, 59° 31' W",,South America,32,,,"""""""Holiday"""""""
Sydney_000088.nef,nef,33.35,4032,3024,300,"34° 10' S, 151° 39' E",,Australia,14,,,"""""""Beach, HDR, Wildlife, Food, Holiday"""""""
Buenos_Aires_000089.tif,tif,19.34,4000,3000,1200,"35° 36' S, 58° 23' W",,South America,,,Canucks,"""""""Blue Hour, Work"""""""
Rio_de_Janeiro_000090.cr2,cr2,32.27,2048,1536,300,"23° 13' S, 43° 05' W",,South America,16,Y,,"""""""Beach, Blue Hour, Nature, Art"""""""
Vancouver_000091.tiff,tiff,34.09,4032,3024,300,"49° 59' N, 123° 07' W",,North America,32,,,"""""""Macro"""""""
Vancouver_000092.jpeg,jpeg,10.4,4032,3024,72,"49.76865, -123.00963",,North America,24,Y,,"""""""Mountain, Vacation"""""""
New_York_000093.cr2,cr2,40.43,3264,2448,1200,"40° 42' N, 74° 38' W",,North America,14,,,"""""""Black and White, Mountain, Travel, Sports, Landscape"""""""
Vancouver_000094.raw,raw,36.42,4032,3024,300,"48.81366, -122.84787",,North America,14,,,"""""""Black and White, Wedding, City, Sports"""""""
Cairo_000095.cr2,cr2,21.3,3840,2160,1200,"29.96799, 31.43960",,Africa,16,Y,,"""""""Mountain, Golden Hour, Landscape"""""""
Sydney_000096.tiff,tiff,16.21,1920,1080,1200,"-33.61731, 151.10992",,Australia,48,,,"""""""Event, Portrait"""""""
Rio_de_Janeiro_000097.jpg,jpg,21.89,4000,3000,72,"-23.33026, -43.36663",,South America,,,,"""""""Family"""""""
Rio_de_Janeiro_000098.jpeg,jpeg,12.73,1920,1080,72,"23° 44' S, 43° 23' W",,South America,24,,,"""""""Abstract, Nature, Vintage, HDR, Blue Hour"""""""
Tokyo_000099.png,png,5.79,2048,1536,300,"35.78228, 139.36025",,Asia,24,,,"""""""City"""""""
Mumbai_000100.nef,nef,43.68,2048,1536,600,"19° 50' N, 73° 14' E",,Asia,,,,"""""""Panorama, Golden Hour"""""""
London_000101.jpg,jpg,7.85,6000,4000,300,"52° 56' N, 0° 16' E",Yes,Europe,24,,,"""""""Concert, City"""""""
Buenos_Aires_000102.png,png,15.83,4000,3000,72,"-34.56321, -58.22992",,South America,,,,"""""""Beach, Family"""""""
Mumbai_000103.tiff,tiff,18.73,3840,2160,300,"19.33485, 72.71570",,Asia,24,,,"""""""Event, Landscape"""""""
Tokyo_000104.tiff,tiff,14.23,5472,3648,1200,"35.55729, 139.32005",,Asia,24,,,"""""""Vacation, Family, Blue Hour, Panorama, Vintage"""""""
Cairo_000105.cr2,cr2,21.01,5472,3648,1200,"30° 43' N, 32° 15' E",,Africa,16,,,"""""""Work, Wedding, Night, Nature"""""""
Paris_000106.jpg,jpg,9.77,3840,2160,96,"49.03785, 2.50841",,Europe,32,,,"""""""Holiday, Landscape, Food, Night"""""""
Tokyo_000107.raw,raw,44.63,1920,1080,300,,,Asia,16,,,"""""""Sports, Vacation, Street, Wedding"""""""
Sydney_000108.jpeg,jpeg,6.65,3840,2160,72,"34° 54' S, 152° 39' E",,Australia,32,,,"""""""Architecture, Travel"""""""
Rio_de_Janeiro_000109.jpg,jpg,21.39,6000,4000,300,"23° 35' S, 43° 57' W",,South America,24,,,"""""""Work"""""""
Cairo_000110.arw,arw,41.76,3840,2160,600,"29.60569, 31.23498",,Africa,14,Y,Senators,"""""""Work, Panorama, Black and White"""""""
Paris_000111.tif,tif,31.38,4000,3000,1200,"48.93320, 2.43898",,Europe,32,Y,,"""""""Macro, Vacation, Wildlife, Festival, City"""""""
Paris_000112.jpg,jpg,19.71,2048,1536,300,"49° 54' N, 3° 31' E",Yes,Europe,24,Y,,"""""""Sports, Beach, Holiday"""""""
Berlin_000113.tif,tif,34.59,3840,2160,600,"52° 29' N, 13° 03' E",Yes,,32,,,"""""""Landscape, Travel, Event"""""""
Los_Angeles_000114.tif,tif,22.94,6000,4000,300,"34° 00' N, 118° 35' W",,North America,48,Y,,"""""""Sports"""""""
Berlin_000115.cr2,cr2,33.27,3840,2160,300,"52.06403, 13.34075",,Europe,14,Y,Rangers,
Mumbai_000116.arw,arw,44.32,1920,1080,600,"20° 01' N, 73° 42' E",,Asia,16,Y,,
Cape_Town_000117.nef,nef,34.0,6000,4000,300,"-33.84817, 18.10919",,Africa,14,Y,,"""""""Food, Blue Hour, Golden Hour, Sunset"""""""
Cape_Town_000118.raw,raw,40.93,5472,3648,1200,"34° 25' S, 18° 38' E",,Africa,16,,,"""""""Travel, Golden Hour, Mountain"""""""
New_York_000119.jpeg,jpeg,12.3,4032,3024,96,"41.02714, -74.46153",,North America,24,,,"""""""Forest, Night"""""""
Singapore_000120.raw,raw,28.04,4000,3000,600,"1.40560, 103.65518",,Asia,16,Y,,"""""""Vacation, Panorama, Portrait, Concert, Travel"""""""
Rio_de_Janeiro_000121.jpeg,jpeg,5.46,4032,3024,300,"-23.21284, -43.13427",,South America,32,,,"""""""Night"""""""
Barcelona_000122.cr2,cr2,30.54,1920,1080,1200,,,Europe,,,,"""""""Golden Hour, Abstract, Vacation, Macro, Food"""""""
Rio_de_Janeiro_000123.png,png,23.52,3840,2160,300,"-23.03310, -43.21138",Yes,South America,24,,,
Paris_000124.nef,nef,16.68,6000,4000,1200,"49° 36' N, 3° 16' E",,Europe,14,Y,,"""""""Beach, Vacation"""""""
Buenos_Aires_000125.raw,raw,41.56,5472,3648,600,"-34.49885, -58.22154",Yes,South America,14,,,"""""""Sunset, HDR, Mountain"""""""
Mumbai_000126.raw,raw,38.15,3840,2160,1200,"19° 27' N, 72° 41' E",,Asia,14,Y,,"""""""Wedding, Beach, Vintage"""""""
Tokyo_000127.arw,arw,27.46,2048,1536,600,"36° 02' N, 140° 15' E",,Asia,,Y,,"""""""Macro, Sunset, Travel, Landscape, Family"""""""
Barcelona_000128.cr2,cr2,33.26,3264,2448,300,"42° 23' N, 2° 46' E",,Europe,16,Y,,"""""""Sunset, Art"""""""
Buenos_Aires_000129.jpg,jpg,5.94,5472,3648,300,"-34.41531, -58.68379",,South America,24,,,"""""""Event, Portrait"""""""
Paris_000130.arw,arw,34.19,1920,1080,1200,"49° 22' N, 2° 54' E",,Europe,14,Y,,"""""""Blue Hour, Macro, Festival"""""""
Los_Angeles_000131.tiff,tiff,16.23,3264,2448,300,"34° 21' N, 119° 02' W",,North America,32,,,"""""""Vacation, Work, Night, Mountain, Travel"""""""
Berlin_000132.tiff,tiff,18.53,2048,1536,600,"52.75040, 13.57075",,Europe,24,Y,,"""""""Food, City, Wedding, Concert"""""""
Cairo_000133.cr2,cr2,37.4,4000,3000,1200,"30° 06' N, 31° 04' E",,Africa,14,Y,,"""""""Family, Night"""""""
Tokyo_000134.tiff,tiff,18.52,4032,3024,600,,,Asia,32,,,"""""""Abstract, Concert, Sunset, Urban"""""""
Berlin_000135.tiff,tiff,19.36,3840,2160,1200,"52.10511, 13.65881",,Europe,48,,,"""""""Portrait, Festival"""""""
Barcelona_000136.cr2,cr2,17.11,4032,3024,300,"41° 48' N, 2° 21' E",,Europe,16,Y,,"""""""Sunrise"""""""
Barcelona_000137.tif,tif,12.97,6000,4000,300,"41° 45' N, 2° 08' E",,Europe,,,,"""""""Portrait, Night, HDR, Golden Hour, Work"""""""
Los_Angeles_000138.nef,nef,19.09,5472,3648,600,"33.70675, -118.23702",,North America,14,,,"""""""Art, Panorama, Vintage, HDR, Nature"""""""
Mumbai_000139.cr2,cr2,16.5,4000,3000,1200,"18.79527, 72.92631",,Asia,,,,"""""""Forest, Beach, Panorama, Art, Abstract"""""""
Berlin_000140.jpeg,jpeg,4.8,3840,2160,300,"52° 36' N, 13° 44' E",,Europe,24,,,"""""""Urban, Event, Blue Hour"""""""
Sydney_000141.nef,nef,38.53,4000,3000,300,"-34.35876, 151.20802",,Australia,14,,,
Singapore_000142.tif,tif,17.96,1920,1080,1200,"1° 59' N, 103° 02' E",,,48,,,"""""""Work, Event, Forest, Urban"""""""
Singapore_000143.cr2,cr2,36.98,6000,4000,600,"2° 13' N, 104° 15' E",,Asia,14,Y,,
Cape_Town_000144.cr2,cr2,31.17,1920,1080,600,"-34.09571, 17.95254",,Africa,14,Y,,"""""""Mountain"""""""
Tokyo_000145.png,png,4.98,1920,1080,96,,,Asia,,,,"""""""Portrait"""""""
Rio_de_Janeiro_000146.tif,tif,31.31,5472,3648,300,"23° 05' S, 43° 56' W",,South America,32,,,"""""""Art, Beach, Sports, HDR"""""""
Vancouver_000147.jpeg,jpeg,17.09,6000,4000,300,"49.57303, -123.42629",,North America,,Y,,"""""""Golden Hour, Panorama, Urban, Nature, Food"""""""
Barcelona_000148.raw,raw,32.93,3264,2448,600,"41° 48' N, 2° 09' E",,Europe,14,,,"""""""Landscape, Vacation, Work, Street"""""""
Vancouver_000149.raw,raw,22.44,6000,4000,600,"48.90474, -122.81300",,North America,14,Y,,
Buenos_Aires_000150.arw,arw,17.37,3264,2448,1200,"34° 04' S, 58° 10' W",,South America,14,,,"""""""HDR, Blue Hour"""""""
Cape_Town_000151.arw,arw,41.38,1920,1080,1200,"34° 02' S, 19° 19' E",,Africa,,,,"""""""Panorama, Portrait, Event, City, Family"""""""
Mumbai_000152.jpg,jpg,13.04,3264,2448,300,"19° 14' N, 73° 31' E",,Asia,24,,,"""""""Portrait"""""""
Vancouver_000153.tiff,tiff,16.21,6000,4000,600,"49° 56' N, 123° 59' W",,North America,24,,,"""""""Panorama, Mountain, Black and White, Night"""""""
Tokyo_000154.tif,tif,28.16,6000,4000,300,"36° 55' N, 140° 44' E",,Asia,48,,,"""""""Concert"""""""
Cape_Town_000155.raw,raw,42.68,1920,1080,600,"33° 40' S, 19° 56' E",,Africa,16,Y,,"""""""Concert, Abstract"""""""
London_000156.arw,arw,25.11,3840,2160,1200,"52° 02' N, 0° 05' W",,Europe,14,,Canadiens,"""""""Food, Forest"""""""
Singapore_000157.raw,raw,36.56,1920,1080,600,"1° 44' N, 104° 40' E",Yes,Asia,,,,"""""""Family, Street, Beach, Urban, Architecture"""""""
Paris_000158.tiff,tiff,14.17,3264,2448,1200,"49.04824, 2.04071",,Europe,24,,Senators,
Los_Angeles_000159.png,png,3.24,2048,1536,300,"33.86463, -118.27247",,North America,24,,,"""""""Art, Event, Night, Festival"""""""
Cape_Town_000160.jpg,jpg,3.49,3264,2448,72,,,Africa,24,Y,,"""""""Vintage, Blue Hour, Panorama"""""""
Rio_de_Janeiro_000161.png,png,15.8,4000,3000,300,"23° 44' S, 43° 35' W",,South America,32,,,"""""""Family, Wedding, Art"""""""
London_000162.arw,arw,44.49,1920,1080,1200,"52° 54' N, 0° 22' E",,Europe,16,Y,,"""""""Wedding, Nature, City, Panorama, Event"""""""
Mumbai_000163.tiff,tiff,34.42,3840,2160,1200,"18.63092, 73.18812",,Asia,24,,,"""""""Family"""""""
Singapore_000164.tif,tif,33.16,4032,3024,600,"0.95483, 103.65057",,Asia,24,Y,,"""""""Macro"""""""
Mumbai_000165.jpg,jpg,20.43,3840,2160,72,"19° 30' N, 73° 54' E",,Asia,32,Y,,"""""""Mountain"""""""
Singapore_000166.jpeg,jpeg,11.91,6000,4000,72,"1° 15' N, 104° 35' E",,Asia,32,,,"""""""Architecture"""""""
Buenos_Aires_000167.tiff,tiff,23.23,6000,4000,1200,"-34.77338, -58.43994",,South America,48,Y,,"""""""Blue Hour"""""""
Cape_Town_000168.jpeg,jpeg,16.21,4000,3000,300,"-33.98838, 18.48270",,Africa,32,,,"""""""Portrait, Sunset"""""""
Buenos_Aires_000169.tiff,tiff,13.49,3264,2448,300,"-34.77299, -58.01263",,South America,32,,,
Tokyo_000170.jpg,jpg,5.26,3840,2160,150,"35.46448, 140.04196",,Asia,32,Y,,"""""""Event, Black and White, Mountain, Nature"""""""
Barcelona_000171.jpg,jpg,13.52,6000,4000,72,"41.42702, 1.79717",,Europe,,,Flames,"""""""Wildlife, Work, Festival, Sunrise, Vacation"""""""
Singapore_000172.nef,nef,31.37,4000,3000,1200,"1.57320, 103.80051",,Asia,14,Y,Canadiens,"""""""Wildlife, Portrait, City, Panorama, Vacation"""""""
Rio_de_Janeiro_000173.cr2,cr2,19.18,3264,2448,600,"-23.08584, -43.12378",,South America,16,,,"""""""Urban, HDR, Travel, Event, Sunset"""""""
New_York_000174.tiff,tiff,17.96,6000,4000,600,"40.87560, -74.09047",,North America,,Y,,
Cairo_000175.tiff,tiff,21.2,4032,3024,1200,"30° 45' N, 31° 44' E",Yes,Africa,24,Y,,"""""""Forest, Festival, Black and White, Nature, Mountain"""""""
Vancouver_000176.arw,arw,29.61,3264,2448,300,"49.37172, -122.69986",Yes,North America,14,,,"""""""Beach"""""""
Paris_000177.jpeg,jpeg,13.96,6000,4000,72,"49° 06' N, 2° 01' E",,Europe,32,Y,,"""""""Holiday, Sports, Abstract"""""""
London_000178.tif,tif,30.64,3840,2160,1200,"52° 24' N, 0° 14' E",Yes,Europe,24,Y,,"""""""Golden Hour, Architecture, Urban, Art, Blue Hour"""""""
Tokyo_000179.raw,raw,33.09,4000,3000,1200,,,Asia,14,,,
Mumbai_000180.cr2,cr2,24.78,5472,3648,600,"19.54420, 72.84382",Yes,Asia,14,Y,,"""""""Travel"""""""
Barcelona_000181.png,png,11.23,6000,4000,150,"41° 56' N, 2° 28' E",,Europe,32,Y,,"""""""Golden Hour, Wedding, Vacation"""""""
Buenos_Aires_000182.jpg,jpg,20.61,1920,1080,300,"34° 21' S, 59° 41' W",,South America,32,,,"""""""Wedding, Golden Hour, Landscape, Vacation, Mountain"""""""
London_000183.jpg,jpg,2.6,1920,1080,300,"51.54482, -0.52626",,Europe,,,,"""""""Sunrise, Architecture, Art, Event"""""""
Singapore_000184.jpeg,jpeg,8.91,1920,1080,72,"1° 31' N, 104° 37' E",,Asia,24,,,"""""""Wedding"""""""
Paris_000185.arw,arw,25.8,4000,3000,300,"48° 20' N, 2° 09' E",,Europe,,Y,,
Paris_000186.jpg,jpg,9.22,4000,3000,96,"49° 30' N, 2° 49' E",,Europe,32,,,"""""""Street, Abstract, Mountain, Sunset"""""""
Los_Angeles_000187.jpeg,jpeg,9.36,4000,3000,300,"33.73024, -118.51666",Yes,North America,24,,,"""""""Black and White, Family, Art"""""""
Tokyo_000188.arw,arw,24.41,6000,4000,600,,,Asia,,,,"""""""Travel, Night, Beach, Macro, Wildlife"""""""
Sydney_000189.jpg,jpg,15.55,4000,3000,150,"34° 31' S, 151° 47' E",,Australia,24,,,"""""""Nature"""""""
Singapore_000190.nef,nef,40.07,5472,3648,1200,,,Asia,14,Y,,"""""""Event, Architecture, Black and White, Art"""""""
London_000191.tif,tif,29.38,4000,3000,600,"51° 25' N, 0° 40' W",,Europe,24,Y,,"""""""Night, Blue Hour, Concert"""""""
London_000192.jpeg,jpeg,18.16,6000,4000,150,"51° 08' N, 1° 10' W",,Europe,24,,,"""""""Art, Event, Concert, Travel, Panorama"""""""
Mumbai_000193.tif,tif,8.43,4032,3024,300,"19° 04' N, 73° 53' E",,Asia,24,Y,,
Buenos_Aires_000194.raw,raw,22.13,3840,2160,300,"34° 59' S, 59° 09' W",,South America,16,,,"""""""Macro"""""""
Berlin_000195.arw,arw,20.9,4032,3024,600,"52.71682, 12.91242",,Europe,14,,,"""""""Wildlife, Beach, Mountain, Black and White, Forest"""""""
Rio_de_Janeiro_000196.tiff,tiff,26.25,4032,3024,300,"23° 22' S, 43° 36' W",,South America,24,,,"""""""Art, HDR, Vacation"""""""
Los_Angeles_000197.tiff,tiff,9.2,4032,3024,600,"33.63050, -118.16142",,North America,32,Y,,"""""""Vintage, Family, Travel, Macro, HDR"""""""
